[2024-03-16T02:51:55.651+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-03-16T02:51:55.659+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-03-16T02:51:55.660+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-03-16T02:51:55.689+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-03-15 00:00:00+00:00
[2024-03-16T02:51:55.698+0000] {standard_task_runner.py:60} INFO - Started process 196 to run task
[2024-03-16T02:51:55.705+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-03-15T00:00:00+00:00', '--job-id', '436', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmpi84108zz']
[2024-03-16T02:51:55.714+0000] {standard_task_runner.py:88} INFO - Job 436: Subtask get_data
[2024-03-16T02:51:56.725+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.725+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.726+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.727+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.734+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.735+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.735+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.737+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.737+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.738+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.738+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.741+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.741+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.742+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.742+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.743+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.743+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.744+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.744+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.744+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.746+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.747+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_tablespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.747+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_auth_members', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.747+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shdepend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.749+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shdescription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.749+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_config', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.750+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_config_map', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.750+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_dict', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.752+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.753+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.753+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.754+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.754+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.755+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.761+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.762+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.762+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.763+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.763+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.764+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.764+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_parameter_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.765+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.765+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.766+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_transform', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.766+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_sequence', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.767+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.767+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.768+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
